sentence,token ,target,morph_weight,"BP_type
",meaning ,transliteration,
تم تجهيز الغُرَف في الفندق بكل وسائل الراحة الحديثة,الغُرَف ,غُرَف,فُعَل,جمع كثرة,Rooms,guraf,
تم تثبيت الأبواب بإحكام باستخدام مَزَالِجَ متينة.,مَزَالِج,مَزَالِج,مَفَاعِل,جمع كثرة,Slides,mazaAlij,
تَمَّ بِناءُ الأَنْفاقِ تَحْتَ الأَرْضِ لِتَسْهِيلِ حَرَكَةِ المُرورِ فِي المَدينَةِ .,الأَنْفاقِ,أَنْفاق,أَفْعَال,جمع قلة,Tunnels,Al>nfAq,
تم العثور على جثث الجنود في ساحة المعركة.,جثث,جثث,فُعَل,جمع كثرة,Corpses,jvv,
تم العثور على الهَلْكَى بعد الزلزال وتم دفنهم في مقبرة جماعية., الهَلْكَى, هَلْكَى,فَعْلَى,جمع كثرة,Doomed / Perished,halokaY,
تم الإفراج عن بعض مَسَاجِينِ الرأي بعد العفو العام.,مَسَاجِين,مَسَاجِين,مَفَاعِيل,جمع كثرة,Prisoners,msAjyn,
تم اكتشاف الكنوز التاريخية في الموقع الأثري خلال التنقيب.,الكنوز,كنوز,فُعُول ,جمع كثرة,Treasures,knwz,
تم إصلاح الشبابيك في الغرفة بعد أن تعرض للتلف.,الشبابيك ,شبَابِيكُ,فَعَالِيل,جمع كثرة,Windows,$baAbiyku,
تم استخدام الأهلة في الزينة خلال عيد الفطر., الأهلة ,أَهِلَّةٌ,أَفْعِلَة,جمع قلة,Crescents,>ahil~apN,
تم إخماد الحرائق بسرعة بفضل جهود رجال الإطفاء.,الحرائق,حرائق,فَعَائِل,جمع كثرة,Fires,HrA}q,
تَكَسَّرَتْ أَغْصَانُ الشَّجَرَةِ بِفِعْلِ الرِّيَاحِ العَاتِيَةِ., أَغْصَانُ, أَغْصَانُ,أَفْعَال,جمع قلة,Branches,>agoSaAnu,
تَكَبَّدَتِ الشَّرِكَةُ خَسَائِرَ كَبِيرَةً بِسَبَبِ الأَزْمَةِ الاقْتِصَادِيَّةِ., خَسَائِرَ, خَسَائِرَ,فَعَائِل,جمع كثرة,Losses,xasaA}ira,
تقع بعض مَقَابِرِ الشهداء في أماكن مقدسة.,مَقَابِر,مَقَابِر,مَفَاعِل,جمع كثرة,Cemeteries,maqaAbir,
تقع المقابر التاريخية على أطراف المدينة القديمة., أطراف, أطراف,أَفْعَال,جمع قلة,Ends,>TrAf,
تقع المقابر التاريخية على أطراف المدينة القديمة.,المقابر,مقابر,مَفَاعِل,جمع كثرة,Cemeteries,mqAbr,
تقدم المعاهد التدريب المهني للطلاب الذين يسعون لاكتساب مهارات جديدة.,المعاهد,معاهد,مَفَاعِل,جمع كثرة,Institutes,mEAhd,
تقام ٱلْمَعَارِضَ التراثية في  المناسبات الوطنية ,ٱلْمَعَارِضَ,مَعَارِض,مَفَاعِل,جمع كثرة,Bracelets,>sAwr,
تَفَجَّرَتِ البَرَاكِينُ فِي المَنَاطِقِ الجَبَلِيَّةِ,البَرَاكِينُ,بَرَاكِينُ,فَعَالِيل,جمع كثرة,Faucets,baraAkiynu,
تَغَيَّرَتْ خُطَطُنَا بِسَبَبِ الظُّرُوفِ الطَّارِئَةِ.,الظُّرُوفِ,ظرُوف,فُعُول ,جمع كثرة ,Circumstances,Zu~ruwfi,
تغيرت الأحوال الجوية بشكل مفاجئ خلال اليوم., الأحوال,أحوال,أَفْعَال,جمع قلة,Conditions,>HwAl,
تغنّى الشُّعَراء بجمال الطبيعة وعبّروا عن أعمق مشاعرهم بالكلمات., الشُّعَراء,شُعَراء,فُعَلاء,جمع كثرة,Poets,$uEarA',
تغلق الأجفان عند الشعور بالنعاس.,الأجفان ,أجْفَان,أَفْعَال,جمع قلة,Eyelids,>jofaAn,
تغرد خمس عصافير فوق أغصان الشجرة.,عصافير,عصافير,فَعَالِيل,جمع كثرة,Birds,ESAfyr,
تَعْمَلُ ٱلْمَصَانِعُ عَلَىٰ إِنْتَاجِ ٱلْسِّلَعِ ٱلْمُخْتَلِفَةِ,المَصَانِعُ,مَصَانِع,مَفَاعِل,جمع كثرة ,Factories,maSaAniEu,
تَعْمَلُ ٱلْمَرَاصِدُ لِدِرَاسَةِ ٱلطَّقْسِ,المَرَاصِد ,مَرَاصِد ,مَفَاعِل,جمع كثرة ,Watchpoints,maraASid,
تَعْمَلُ ٱلْمَحَاجِرُ عَلَىٰ ٱخْتِرَاجِ ٱلْأَحْجَارِ, ٱلْمَحَاجِرُ,مَحَاجِر,مَفَاعِل,جمع كثرة ,Quarries,maHaAjiru,
تعمل المستشفى جاهدةً لتقديم أفضل رعاية للمَرْضَى., للمَرْضَى,مَرْضَى,فَعْلَى,جمع كثرة,Sick / Ill,maroDaY.,
تعمل الدول معًا لمكافحة تغير المناخ وحماية البيئة.,الدول,دول,فُعَل,جمع كثرة,Countries,dwl,
تعلمنا الطََّرائِق المختلفة في التعليم لتحقيق أفضل النتائج.,الطََّرائِق,طَرائِق,فَعَائِل,جمع كثرة,Bays,TarA}iq,
تعلّمنا أسماء الكواكب في مادة الجغرافيا.,الكواكب,كواكب,فَوَاعِل,جمع كثرة,Planets,kwAkb,
تعلم الأطفال لغات مختلفة في ورش العمل.,ورش,وِرَشٌ,فِعَل,جمع كثرة,Workshops,wira$N,
تعلم الأطفال الحروف الأبجدية في المدرسة هذا الأسبوع.,الحروف,حروف,فُعُول ,جمع كثرة,Letters,Hrwf,
تعقد مَجَامِعُ اللغة العربية لمناقشة القضايا اللغوية المهمة.,مَجَامِعُ,مَجَامِع,مَفَاعِل,جمع كثرة,Mosques,majaAmiEu,
تُعقدُ المَجَالِسُ في كلِّ يومٍ لمناقشةِ القضايا المهمَّة,المَجَالِسُ,مَجَالِس,مَفَاعِل,جمع كثرة ,councils,majaAlis,
تَعَرَّضَتِ المِنْطَقَةُ لِعِدَّةِ زَلازِلَ شَدِيدَةٍ فِي الآوِنَةِ الأَخِيرَةِ.,زَلازِلَ, زَلازِلَ ,فَعَالِل,جمع كثرة ,Earthquakes,zalAzila,
تُعدّ مَرَافِقُ المدينة العامة ضرورية لخدمة المواطنين.,مَرَافِقُ,مَرَافِق,مَفَاعِل,جمع كثرة,Facilities,maraAfiqu,
تُعدّ الغابات مَنَابِتَ طبيعية للعديد من النباتات النادرة,مَنَابِتُ,مَنَابِت,مَفَاعِل,جمع كثرة,Natures,manaAbitu,
تَعُدُّ الصُّقُورُ مِنَ الطُّيُورِ الجَارِحَةِ الَّتِي تَتَمَيَّزُ بِقُوَّتِهَا., الصُّقُورُ,صقور,فُعُول ,جمع كثرة,Falcons,Sqwr,
تعد الحيتان الزرقاء من أكبر الكائنات البحرية على وجه الأرض.,الحيتان,حيتان,فِعْلان,جمع كثرة,Whales,HytAn,
تعتني المَغَارِسُ بالأشجار الصغيرة حتى تنمو بشكل صحي.,مَغَارِس,مَغَارِس,مَفَاعِل,جمع كثرة,Gardens,magaAris,
تعتمد الدولة على الموارد الطبيعية لتحقيق النمو.,الموارد,موارد,مَفَاعِل,جمع كثرة,Resources,mwArd,
تعتمد الجامعات على مَنَاهِجَ متطورة لمواكبة العصر.,مَنَاهِج,مَنَاهِج,مَفَاعِل,جمع كثرة,Curricula,manaAhij,
تُعتبرُ المآنيثُ في بعض الحيواناتِ أكثرَ قدرةً على البقاءِ في البيئاتِ القاسيةِ, المآنيثُ, مآنيث,مَفَاعِيل,جمع كثرة,females,maaniith,
تعاون الإِخوان  معًا لبناء مشروع عائلي ناجح., الإِخوان, إِخوان,فِعْلان,جمع كثرة,Brothers,<ixwAn,
تطايرت أوراق شجر مع الرياح في الحديقة.,الرياح,رياح,فِعَال,جمع كثرة,Winds,ryAH,
تَضَمَّنَتِ المَقَالَةُ مَضَامِينَ تَعْلِيمِيَّةً هَامَّةً., مَضَامِينَ, مَضَامِين,مَفَاعِيل,جمع كثرة,Contents,maDaAmiyna,
تَشْتَهِرُ دُبَيٍّ بِأَبْرَاجِهَا العَالِيَةِ., بِأَبْرَاجِهَا , أَبْرَاجِ,أَفْعَال,جمع قلة,constellations,>aboraAji,
تشتهر بعض البلدان بوجود الأبحر العميقة حولها.,الأبحر,أبْحُر,أَفْعُل,جمع قلة,Seas,>boHur,
تشتهر اليابان بصناعة السيوف الحادة.,السيوف,سُيُوف	,فُعُول ,جمع كثرة,Swords,suyuwf,
تشتهر الأفلام باستكشاف العوالم الخيالية.,العوالم,عوالم,فَوَاعِل,جمع كثرة,Worlds,EwAlm,
تَسَلَّقَتِ السَّلالِم بِسُرْعَةٍ لِأَلْحَقَ بِالْحَافِلَةِ., السَّلالِم ,سَلالِم ,فَعَالِل,جمع كثرة,Ladders,salAlim,
تسلّقت الجبال أثناء مغامرتي الصيفية.,الجبال,جبال,فِعَال,جمع كثرة,Mountains,jbAl,
تسعى الدول إلى الحفاظ على منابع المياه الطبيعية لضمان استدامتها للأجيال القادمة.,منابع,منابع,مَفَاعِل,جمع كثرة,Springs,mnAbE,
تَسْتَعْمِلُ الطُّيُورُ الجَارِحَةُ المَخَاليبَ الحَادَّةَ لِلاِمْسَاكِ بِالْفَرِيسَةِ وَتَقْطِيعِهَ, المَخَاليبَ,مَخَاليب,مَفَاعِيل,جمع كثرة,Claws / Talons	,maxaalib,
تستطيعُ النُّسُورُ اصطفافَ فَرَائِسِهَا بِسُهُولَةٍ بِاستخدامِ حَدَّةِ بَصَرِهَا., فَرَائِسِهَا,فَرَائِس,فَعَائِل,جمع كثرة ,Preys,faraA}is,
تُسْتَخْدَمُ المَكَابِسُ فِي المَصَانِعِ لِتَشْكِيلِ المَعَادِنِ., المَكَابِسُ,مَكَابِس,مَفَاعِل,جمع كثرة ,Presses,makaAbisu,
تَسْتَخْدِمُ الطُّيُورُمَنَاقِيرَهَا لِجَمْعِ الطَّعَامِ وَبِنَاءِ الأَعْشَاشِ.,مَنَاقِيرَهَا,مَنَاقِير,مَفَاعِيل ,جمع كثرة ,Beaks,manaAqiyr,
تُستخدم الأنسجة في صناعة الملابس.,الأنسجة ,أنْسِجَة,أَفْعِلَة,جمع قلة,Tissues,>nosijap,
تسببت الصواعق في انقطاع الكهرباء عن المنطقة.,الصواعق,صواعق,فَوَاعِل,جمع كثرة,Lightning,SwAEq,
تسببت الحجارة في إحداث جروح في كُعوب  الجنود أثناء الركض في الميدان.,كُعوب,كُعوب ,فُعُول ,جمع كثرة,Heels,kuEwb,
تساقطت وُرُود حمراء في الحديقة.,وُرُود,وُرُود,فُعُول ,جمع كثرة,Roses,wuruwd,
تساقطت أوراق الأشجار في الخريف.,أوراق,أوراق,أَفْعَال,جمع قلة,Papers,>wrAq,
تساقطت الأَوْرَاق  من الأشجار مع قدوم فصل الخريف.,الأَوْرَاق ,أَوْرَاق ,أَفْعَال,جمع قلة,Papers,>aworaAq,
تزينت جدران المعبد القديم بمجموعة رائعة من  النُقُوش التاريخية., النُقُوش, نُقُوش,فُعُول ,جمع كثرة,Inscriptions,nuquw$,
تزيّنت المدينة بأضواء الشوارع.,بأضواء,أضواء,أَفْعَال,جمع قلة,Lights,>DwA',
تزينت المَخادِع بالزهور لتبدو أكثر جمالًا.,المَخادِع ,مَخَادِع,مَفَاعِل,جمع كثرة,Decoys,maxaAdiEu,
تزينت المحاريب في المسجد بالزخارف الجميلة., المحاريب ,مَحَارِيب,مَفَاعِيل,جمع كثرة,Nipples,maHaAriybu,
تزينت السماء بألوان الطيور المهاجرة بين غابات كثيفة., بألوان ,ألوان,أَفْعَال,جمع قلة,Colors,>lwAn,
تزينت الحقول بأعشاش طيور ملونة بألوان زاهية., بأعشاش ,أعشاش,أَفْعَال,جمع قلة,Nests,>E$A$,
تَزَيَّنَ المَسْجِدُ بِالمَحَارِيبِ المُزَخْرَفَةِ., بِالمَحَارِيبِ,مَحَارِيب,مَفَاعِيل ,جمع كثرة ,Rabbits,maHaAriybi,
تزيّن الحي بزراعة العديد من الزهور.,الزهور,زهور,فُعُول ,جمع كثرة,Flowers,zhwr,
تزداد شعبية النوادي الرياضية بين الشباب.,النوادي,نوادي,فَوَاعِل ,جمع كثرة,Clubs,nwAdy,
"تزايد عدد  القَتْلى في الحروب نتيجة للصراعات العنيفة.""",القَتْلى,قَتْلى,فَعْلَى,جمع كثرة,dead,qatolY,
تركز الجامعات على تدريس العلوم الحديثة لتأهيل الطلاب لمستقبل مشرق.,العلوم,علوم,فُعُول ,جمع كثرة,Sciences,Elwm,
تركت الجدة العديد من الوصايا لأحفادها.,الوصايا,وصايا,فَعَالَى,جمع كثرة,Wills,wSAyA,
تركت الأقدام آثارًا على الرمال.,الأقدام,أقدَام,أَفْعَال,جمع قلة,Feet,>qdaAm,
"تَرْتَدي الفِرَقُ الرّياضيَّةُ الأَقْمِصَةَ المُمَيَّزَةَ .

",الأَقْمِصَةَ,أَقْمِصَة,أَفْعِلَة,جمع قلة,Shirts,>qmiSap,
تُذاع الأخبار العاجلة على التلفاز في كل ساعة.,الأخبار,أَخْبَارُ,أَفْعَال,جمع قلة,News,>axobaAru,
تَدَرَّبَ أَشْبَالُ الكَشَّافَةِ عَلَى المَهَارَاتِ الجَدِيدَةِ., أَشْبَالُ, أَشْبَالُ,أَفْعَال,جمع قلة,Cubs,>a$obaAlu,
تَخْتَلِفُ مَقَاصِدُ ٱلنَّاسِ فِي ٱلسَّفَرِ,مَقَاصِدُ,مَقَاصِد,مَفَاعِل,جمع كثرة ,Destinations,maqaASidu,
تَخْتَلِفُ فُصُولُ السَّنَةِ بَيْنَ الصَّيْفِ وَالشِّتَاءِ.,فُصُولُ,فُصُول,فُعُول ,جمع كثرة ,Chapters,fuSuwlu,
تَخْتَلِفُ عُقُولُ النَّاسِ فِي التَّفْكِيرِ., عُقُولُ, عُقُول,فُعُول ,جمع كثرة ,Minds,Euquwlu,
تختلف طبيعة الحياة بين مَنَاطِقِ الريف والمدينة,مَنَاطِق,مَنَاطِق,مَفَاعِل,جمع كثرة,Regions,manaATiq,
تختلف الأوزان بين الأشخاص حسب بنيتهم.,الأوزان,أوْزَان,أَفْعَال,جمع قلة,Weights,>wozaAn,
تختلف الأعراض من مرض لآخر.,الأعراض,أعْرَاض,أَفْعَال,جمع قلة,Symptoms,>EoraAD,
تَخْتَلِفُ أَعْرَافُ القَبَائِلِ حَسَبَ ثَقَافَاتِهَا وَتَقَالِيدِهَا.,أَعْرَافُ,أَعْرَافُ,أَفْعَال,جمع قلة,Necks,>aEoraAfu,
تحولت المدينة القديمة إلى مزار مليء بأطلال تاريخية.,بأطلال,أَطْلَالٌ,أَفْعَال,جمع قلة,Ruins,>aTolaAlN,
تحملت الأسرة العديد من المصائب بصبر.,المصائب,مصائب,مَفَاعِل,جمع كثرة,Catastrophes,mSA}b,
تحمل الشابة العديد من الأحلام لمستقبل مشرق.,الأحلام,أحلام,أَفْعَال,جمع قلة,Dreams,>HlAm,
تحمل الرياح مَنَافِرَ العطر من الزهور إلى جميع أنحاء الحديقة.,مَنَافِر,مَنَافِر,مَفَاعِل,جمع كثرة,Outskirts,manaAfir,
تحمل الرجل الرزايا بصبر وإيمان.,الرزايا,رزايا,فَعَالَى,جمع كثرة,Catastrophes,rzAyA,
تَحَمَّلَ الجُنْدُ المَصَاعِيبَ في سَبِيلِ الوَطَنِ,المَصَاعِيبَ,مَصَاعِيب,مَفَاعِيل ,جمع كثرة ,Queues,maSaAEiyba,
تحمل الأم في حقيبتها مَنَادِيلَ ورقية باستمرار.,مَنَادِيل,مَنَادِيل,مَفَاعِيل,جمع كثرة,Tissues,manaAdiyl,
تحمل الأعمدة السقف بقوة وثبات.,الأعمدة ,أعْمِدَة,"أَفْعِلَة
",جمع قلة,Columns,>Eomidap,
تحمل الأب الأعباء الثقيلة بصبر.,الأعباء ,أعْبَاء,أَفْعَال,جمع قلة,Burdens,>EobaA',
تَحَلَّقَتِ الصُّقُورُ عَالِيًا فِي السَّمَاءِ.,الصُّقُورُ,صُقُور,فُعُول ,جمع كثرة ,Bears,Suquwru,
تَحْكِي القِصَصُ عَنْ الأَقْزَامِ السَّبْعَةِ.,الأَقْزَامِ,أَقْزَامِ,أَفْعَال,جمع قلة,Dwarfs,>aqozaAmi,
تَحْرُسُ الكِلَابُ المَنْزِلَ لَيْلًا., الكِلَابُ,كِلَابُ,فِعَال,جمع كثرة ,Dogs,kilaAbu,
تحدثنا عن فوائد ثمار المزارع المحلية.,فوائد,فوائد,فَوَاعِل,جمع كثرة,Benefits,fwA}d,
تحدث الفلاسفة عن مستقبل الإنسان., الفلاسفة, فلاسفة,"فَعَالِلة
",جمع كثرة,Philosophers,flAsfp,
تحدث العلماء عن الأضرار المحتملة للتلوث على البيئة.,الأضرار,أضرار,أَفْعَال,جمع قلة,Harms,>DrAr,
تحتوي مَكَاتِبُ الشركات الكبرى على أحدث الأجهزة الإلكترونية.,مَكَاتِبُ,مَكَاتِب,مَفَاعِل,جمع كثرة,Offices,makaAtibu,
تَحْتَوِي ٱلْمَدَائِنُ ٱلْقَدِيمَةُ عَلَىٰٓ ءَاثَارٍ عَظِيمَةٍ,ٱلْمَدَائِنُ,مَدَائِن,مَفَاعِل,جمع كثرة ,Cities,madaA}inu,
تحتوي المكتبة على أنواع مختلفة من الكتب., أنواع,أنْوَاع,أَفْعَال,جمع قلة,Types,>nowaAE,
تحتوي المدينة على العديد من المباني الشاهقة التي تتميز بتصميمات حديثة.,المباني,مباني,مَفَاعِل,جمع كثرة,Buildings,mbAny,
تحتوي المدينة على العديد من القصور التاريخية التي تعكس عراقة الماضي.,القصور,قصور,فُعُول ,جمع كثرة,Palaces,qSwr,
تَحْتَوِي الغُرْفَةُ عَلَى ثَلاثَةِ أَسِرَّةٍ مُرِيحَةٍ.,أَسِرَّةٍ,أَسِرَّةٍ,أَفْعِلَة,جمع قلة,Beds,>asira~pK,
تحتوي الصيدلية على أنواع مختلفة من الأدوية.,الأدوية,أدْوِيَة,أَفْعِلَة,جمع قلة,Medicines,>dowiyap,
تحتوي الحاسوبَاتُ على مَنَافِذِ USB متعددة.,مَنَافِذ,مَنَافِذ,مَفَاعِل,جمع كثرة,Outlets,manaAfi*,
تحتاج العظام إلى الكالسيوم لتقويتها.,العظام ,عِظَام	,فِعَال,جمع كثرة,Bones,EiZaAm,
تَحْتَاجُ العَائِلَةُ إِلَى تَخْطِيطٍ جَيِّدٍ لِتَغْطِيَةِ مَصَارِيفِ الشَّهْرِ.,مَصَارِيفِ,مَصَارِيف,مَفَاعِيل,جمع كثرة,Expenses, masaariif,
تحتاج الأرجل القوية إلى تمرينات رياضية مستمرة.,الأرجل,أرْجُل,أَفْعُل,جمع قلة,Legs,>rojul,
تجولت في بُلدان عديدة، وكل واحدة كانت تتميز بثقافة مختلفة.,بُلدان,بُلدان,فُعْلان,جمع كثرة,Countries / Nations,buldAn,
تجولت في المغاني الجميلة وسط الطبيعة.,المغاني,مغاني,مَفَاعِل,جمع كثرة,Songs,mgAny,
تَجَوَّلَ الرُّعَاةُ فِي البَرَارِي ّ الواسِعَةِ بَاحِثِينَ عَنْ مَرَاعٍ لِمَوَاشِيهِمْ.,البَرَارِي ّ,بَرَارِِيّ ,فَعَالِي,جمع كثرة ,Sayings,baraAriiy~,
تجمّعت القطع الأثرية في المتاحف الوطنية.,القطع,قطع,"فِعَل
",جمع كثرة,Pieces,qTE,
تجمعت القبائل عند منابع عيون الماء العذب.,القبائل,قبائل,فَعَائِل,جمع كثرة,Tribes,qbA}l,
تجمّعت الرجال في الساحة للاحتفال.,الرجال,رجال,فِعَال, جمع قلة,Men,rjAl,
تجمّعت أَحْجَار صغيرة على الشاطئ.,أَحْجَار,أَحْجَار,أَفْعَال,جمع قلة,Stones,>aHojaAr,
تجمع الناس حول كَوَاثِرالخير التي وزعها الأغنياء في القرية., كَوَاثِر,كَوَاثِر,فَوَاعِل ,جمع كثرة,Storms,kawaAvir,
تجمّع المارَّة حول عروض الفنانين في الساحة.,المارَّة,مارَّة,"فاعِلَة
",جمع كثرة,Passing,mAr~ap,
تجمّع الضيوف حول طاولة العشاء.,الضيوف,ضيوف,فُعُول ,جمع كثرة,Guests,Dywf,
تجمّع الشعراء ليُعبّروا عن أحاسيسهم ومشاعرهم العميقة بأسلوبٍ فني بليغ., أحاسيسهم, أحاسيس,أَفَاعِيل,جمع كثرة,"Feelings
",>HAsys,
تَجَلَّتْ مَظَاهِرُ الْفَرَحِ عَلَى وَجُوهِ النَّاسِ فِي الْمُدِينَةِ., مَظَاهِرُ, مَظَاهِر,مَفَاعِل,جمع كثرة,Manifestations,maZaAhiru,
تجري المياه في الأودية خلال فصل الشتاء., الأودية,أوْدِيَة,أَفْعِلَة,جمع قلة,Valleys,>wodiyap,
تجرى الأبحاث في المخابر العلمية لاكتشاف أدوية جديدة.,المخابر,مخابر,مَفَاعِل,جمع كثرة,Laboratories,mxAbr,
تَجَدَّدَتِ العُهُودُ بَيْنَ الأَصْدِقَاءِ عَلَى الوَفَاءِ.,العُهُودُ,عُهُود,فُعُول ,جمع كثرة,Treaties,Euhuwdu,
تثير ذكريات الماضي الشُّجُون  في قلبها كلما تذكرت تلك الأيام., الشُّجُون,شُجُون ,فُعُول ,جمع كثرة,Sorrows,$ujuwn,
تثبت العمال المسامير على الألواح الخشبية.,المسامير,مسامير,مَفَاعِيل,جمع كثرة,Nails,msAmyr,
تتولد الأفكار العظيمة من التأمل.,الأفكار ,أفْكَار,أَفْعَال,جمع قلة,Ideas,>fokaAr,
تَتَوَفَّرُ عِدَّةُ مَرَافِقٍ فِي ٱلْمُنْتَجَعِ ٱلسِّيَاحِيِّ, مَرَافِقٍ, مَرَافِق,مَفَاعِل,جمع كثرة,Facilities,maraAfiqK,
تتواجد الأشجار بكثرة في هذا الحيّ.,الأشجار,أشجار,أَفْعَال,جمع قلة,Trees,>$jAr,
تَتَنَوَّعُ ٱلْمَطَاعِمُ فِي تَقْدِيمِ ٱلْأَطْبَاقِ ٱلشَّهِيَّةِ,المَطَاعِمُ, مَطَاعِم,مَفَاعِل,جمع كثرة ,Restaurants,maTaAEimu,
تَتَنَوَّعُ أَعْرَاقُ البَشَرِ وَلَكِنْ يَجْمَعُهُمْ الإِنسَانِيَّةُ., أَعْرَاقُ, أَعْرَاقُ,أَفْعَال,جمع قلة,Roots,>aEoraAqu,
تتنوع أجْنَاسُ الكائنات الحية بين الحيوانات والنباتات والفطريات.," أجْنَاسُ
",أجْنَاس,أَفْعَال,جمع قلة,Genders,>jonaAs,
تتميز الأبواب الحديثة بمَقَابِضَ أنيقة ومريحة.,,مَقَابِض,مَفَاعِل,جمع كثرة,Handles,maqaAbiD,
تتمتع هذه الوظيفة بالكثير من المزايا التي تجعلها مميزة.,المزايا,مزايا,مَفَاعِل,جمع كثرة,Advantages,mzAyA,
تتكون المواد الكيميائية من عناصر مختلفة.,المواد,مواد,مَفَاعِل,جمع كثرة,Materials,mwAd,
تتفتح الأذهان بالعلم والمعرفة.,الأذهان ,أذْهَان,أَفْعَال,جمع قلة,Minds,>*ohaAn,
تتعدد الأوجه في الشخصيات المختلفة., الأوجه,أوجُه,أَفْعُل,جمع قلة,Faces,>wjuh,
تتدفق المياه العذبة من مَنَابِيعِ الجبال العالية.,مَنَابِيع,مَنَابِيع,مَفَاعِيل,جمع كثرة,Sources,manaAbiyE,
تَتَدَفَّقُ الأَنْهَارُ فِي وَدْيَانٍ خَصْبَةٍ.,الأَنْهَارُ,أَنْهَارُ ,أَفْعَال,جمع قلة,Necks,>anohaAru,
تتدفق الأنهار العذبة في الوديان بين الجبال,الأنهار,أنْهَار,أَفْعَال,جمع قلة,Rivers,>nohaAr,
تَتَجَدَّدُ أَفْكَارُ النَّاسِ كُلَّ يَوْمٍ، وَيَسْتَمِرُّونَ فِي بَحْثِ مَفَاهِيمٍ جَدِيدَةٍ,أَفْكَارُ,أَفْكَارُ,أَفْعَال ,جمع قلة,Ideas,>afokaAru,
تبني الطيور أعشاشها في أماكن آمنة., أعشاشها ,أعْشَاش,أَفْعَال,جمع قلة,Nesses,>Eo$aA$,
تَبْنِي الطُّيُورُ أَعْشَاشَهَا فَوْقَ الأَشْجَارِ., أَعْشَاشَها, أَعْشَاش,أَفْعَال,جمع قلة,Shoes,>aEo$aA$,
تَبْعَثُ الشَّمْسُ أَشْعَّةً دَافِئَةً فِي الصَّبَاحِ., أَشْعَّةً,أَشْعَّةً ,أَفْعِلَة,جمع قلة,Towers,>a$oEa~pF,
تبت المحاكم في القضايا العالقة بحكمة وعدل.,القضايا,قضايا,فَعَالَى,جمع كثرة,Cases,qDAyA,
تبت المحاكم في القضايا العالقة بحكمة وعدل., المحاكم, محاكم,مَفَاعِل,جمع كثرة,Courts,mHAkm,
تباع الملابس الشتوية بأسعار مرتفعة في المتاجر., بأسعار,أسعار,أَفْعَال,جمع قلة,Prices,>sEAr,
تباع الملابس الشتوية بأسعار مرتفعة في المتاجر.,المتاجر,متاجر,مَفَاعِل,جمع كثرة,Shops,mtAjr,
تبادل الأصدقاء مَكَاتِيبَ مليئة بالمحبة والود.,مَكَاتِيب,مَكَاتِيب,مَفَاعِيل,جمع كثرة,Offices,makaAtiyb,
تؤمن الأفئدة بالله إيمانًا عظيمًا.,الأفئدة,أفْئِدَة,أَفْعِلَة,جمع قلة,Hearts,>fo}idap,
تأملنا في أَفْلَاكٍ مضيئة.,أَفْلَاكٍ,أَفْلَاكٍ,أَفْعَال,جمع قلة,Celestial spheres,>afolaAkK,
تأملنا في أَحْوَال الطقس.,أَحْوَال,أَحْوَال,أَفْعَال,جمع قلة,Conditions,>aHowaAl,
تأملنا المناظر الطبيعية الخلابة في الجبال.,المناظر,مناظر,مَفَاعِل,جمع كثرة,Scenes,mnAZr,
تأملت النجوم اللامعة في الليالي المظلمة.,الليالي,ليالي,فَعَالِي,جمع كثرة,Nights,lyAly,
تَأَمَّلْتُ النُّجُومَ اللَامِعَةَ فِي السَّمَاءِ الصَّافِيَةِ.,النُّجُومَ,نُجُوم,فُعُول ,جمع كثرة ,Stars,nujuwma,
تأملت الأزهار وهي تنمو في حقول زروع خضراء.,زروع,زروع,فُعُول ,جمع كثرة,Cultivations,zrwE,
تألقت كُثبان الرمل الذهبية تحت أشعة الشمس في الصحراء.,كُثبان,كُثبان,فُعْلان,جمع كثرة,Dunes,kuvbAn,
تأكد من أن كل الأزرار مثبتة في مكانها الصحيح.,الأزرار,أزرار,أَفْعَال,جمع قلة,Buttons,>zrAr,
تأكد المهندس من وجود التروس في الآلة قبل تشغيلها.,التروس,تُرُوس,فُعُول ,جمع كثرة,Gears,turuwsN,
تأكد العاملون من سلامة الأقفال قبل مغادرة المبنى.,الأقفال ,أَقْفَالٌ,"أَفْعَال
",جمع قلة,Locks,>aqofaAlN,
تؤثر بعض الأطعمة على الأمعاء الهضمية.,الأمعاء,أمْعَاء,أَفْعَال,جمع قلة,Intestines,>moEaA',
بُنيت الحُصُونُ قديمًا لحماية المدن من الأعداء.,الحُصُنُ ,حُصُن,فُعُل,جمع كثرة,Forts,HuSun,
بَعْضُ المَوَاقِفِ تَحْمِلُ مَعَهَا الدُّرُوسَ وَالعِبَرَ.,الدُّرُوسَ,درُوس,فُعُول ,جمع كثرة ,Lessons,du~ruwsa,
بُطُونُ ٱلْكُتُبِ مَلِيئَةٌ بِٱلْحِكْمَةِ وَٱلْمَعْرِفَةِ,بُطُونُ,بُطُون,فُعُول ,جمع كثرة,Stomachs,buTuwnu,
بدت الفواضح واضحة في الخطأ المكتوب.,الفواضح,فواضح,فَوَاعِل,جمع كثرة,Clear,fwADH,
بحثت عن أسماء العلماء العرب في التاريخ.,أسماء,أسماء,أَفْعَال,جمع قلة,Names,>smA',
بحث الجنود في أسرى المعارك عن قادتهم.,أسرى,أسرى,فَعْلى,جمع كثرة,Prisoners,>srY,
