sentences,token ,target,morph_weight,"BP_type
",meaning ,transliteration
تابعتُ قضايا ٱلْمَحْكُومِينَ في المحكمة.,ٱلْمَحْكُومِينَ,مَحْكُومِينَ,مَفْعُولِينَ,جمع المذكر السالم,The convicted ones,maHkUmInA
حُكم على ٱلْقَاتِلِينَ بالسجن المؤبد.,ٱلْقَاتِلِينَ,قَاتِلِينَ,فَاعِلِينَ,جمع المذكر السالم,The killers,qAtilInA
زرتُ ٱلْمُعَمَّرِينَ في دار المسنين.,ٱلْمُعَمَّرِينَ,مُعَمَّرِينَ,مُفَعَّلِينَ,جمع المذكر السالم,The elderly ones,mu‘ammarInA
استجوبتُ ٱلْمُتَّهِمِينَ في القضية الأخيرة.,ٱلْمُتَّهِمِينَ,مُتَّهِمِينَ,مُتَفَعِّلِينَ,جمع المذكر السالم,The accusers,muttahimInA
تحدثتُ مع ٱلْمُوَظَّفِينَ حول تحديثات العمل.,ٱلْمُوَظَّفِينَ,مُوَظَّفِينَ,مُفَعَّلِينَ,جمع المذكر السالم,The employees,muwaZzafInA
شاهدتُ أداء ٱلْمُتَسَابِقِينَ في السباق.,ٱلْمُتَسَابِقِينَ,مُتَسَابِقِينَ,مُتَفَاعِلِينَ,جمع المذكر السالم,The competitors,mutasAbiqInA
اعتمدتُ على نصائح ٱلْمُصْلِحِينَ لإصلاح المشاكل.,ٱلْمُصْلِحِينَ,مُصْلِحِينَ,مُفْعِلِينَ,جمع المذكر السالم,The reformers,muSliHInA
أشرتُ إلى إنجازات ٱلْمُبْدِعِينَ في المجال الفني.,ٱلْمُبْدِعِينَ,مُبْدِعِينَ,مُفْعِلِينَ,جمع المذكر السالم,The innovators,mubdi‘InA
شكرتُ ٱلْمُتَعَاوِنِينَ على دعمهم المستمر.,ٱلْمُتَعَاوِنِينَ,مُتَعَاوِنِينَ,مُتَفَاعِلِينَ,جمع المذكر السالم,The cooperative ones,muta‘AwInInA
تجاهلتُ كلام ٱلْمُسِيئِينَ في النقاش.,ٱلْمُسِيئِينَ,مُسِيئِينَ,مُفْعِلِينَ,جمع المذكر السالم,The offenders,musiy’InA
نبهتُ ٱلْمُسْرِفِينَ إلى ضرورة ترشيد الاستهلاك.,ٱلْمُسْرِفِينَ,مُسْرِفِينَ,مُفْعِلِينَ,جمع المذكر السالم,The extravagant ones,musrifInA
شـاهَـدْتُ مُفْلِحينَ يُحَقِّقونَ النَّجاحَ الدَّائِمَ.,مُفْلِحينَ,مُفْلِحينَ,مُفْعِلِينَ,جمع المذكر السالم,The successful ones,muflihInA
أَدْرَكْتُ فاسِقينَ وَهُمْ يَرْتَكِبونَ المَعاصِيَ.,فاسِقينَ,فاسِقينَ,فاعِلِينَ,جمع المذكر السالم,The sinners,fAsiqInA
اسْتَمَعْتُ إِلى مُنافِقينَ يُحاوِلونَ الخِداعَ.,مُنافِقينَ,مُنافِقينَ,مُفاعِلِينَ,جمع المذكر السالم,The hypocrites,munafiqInA
رَأَيْتُ مُتَجافينَ يَتَجَنَّبونَ بَعْضَهُمْ البَعْضَ.,مُتَجافينَ,مُتَجافينَ,مُتَفَاعِلِينَ,جمع المذكر السالم,The aloof ones,mutjAfiynA
قابَلْتُ مُتَحابينَ في اللِّقاءِ بِفَرَحٍ.,مُتَحابينَ,مُتَحابينَ,مُتَفَاعِلِينَ,جمع المذكر السالم,The loving ones,mutHAbinA
شـاهَـدْتُ مُتَنازِعينَ يَتَخاصَمونَ بِقُوَّةٍ.,مُتَنازِعينَ,مُتَنازِعينَ,مُتَفَاعِلِينَ,جمع المذكر السالم,The disputers,mutnAzE‘inA
احْتَرَمْتُ مُتَسامِحينَ بَعْدَ النِّزاعِ.,مُتَسامِحينَ,مُتَسامِحينَ,مُتَفَاعِلِينَ,جمع المذكر السالم,The forgiving ones,mutasAmHinA
رَأَيْتُ مُتَباكِينَ عَلى فُقْدانِ أَحِبّائِهِمْ.,مُتَباكِينَ,مُتَباكِينَ,مُتَفَاعِلِينَ,جمع المذكر السالم,The weepers,mutbAkInA
الْتَقَيْتُ مُتَواصِلينَ في الاجْتِماعاتِ الدَّوْرِيَّةِ.,مُتَواصِلينَ,مُتَواصِلينَ,مُتَفَاعِلِينَ,جمع المذكر السالم,The communicators,mutwASilInA
شـاهَـدْتُ مُتَصافينَ يَتَصافَحونَ بَعْدَ الخِلافِ.,مُتَصافينَ,مُتَصافينَ,مُتَفَاعِلِينَ,جمع المذكر السالم,The reconciled ones,mutSAfinA
شارَكْتُ في لِقاءٍ مَعَ مُتَشاوِرينَ لِاتِّخاذِ القَرارِ.,مُتَشاوِرينَ,مُتَشاوِرينَ,مُتَفَعِّلِينَ,جمع المذكر السالم,The consultative ones,mutshAwirInA
لاحَظْتُ مُتَبَتِّلينَ في العِبادَةِ وَالخُشوعِ.,مُتَبَتِّلينَ,مُتَبَتِّلينَ,مُتَفَاعِلِينَ,جمع المذكر السالم,The devout ones,mutabattilInA
حَفَّزْتُ مُتَسامِحينَ عَلى التَّسامُحِ في المُجْتَمَعِ.,مُتَسامِحينَ,مُتَسامِحينَ,مُفْعِلِينَ,جمع المذكر السالم,The forgiving ones,mutasAmHinA
اسْتَمَعْتُ إِلى مُقْسِطينَ في حُكْمِهِمْ بِالعَدْلِ.,مُقْسِطينَ,مُقْسِطينَ,مُفَعِّلِينَ,جمع المذكر السالم,The just ones,muqsItInA
قابَلْتُ مُسَوِّفينَ في الحَمْلَةِ التَّوْعَوِيَّةِ.,مُسَوِّفينَ,مُسَوِّفينَ,مُتَفَاعِلِينَ,جمع المذكر السالم,The procrastinators,musawwifInA
رَأَيْتُ مُتَقاسِمينَ لِلْمَهامِّ يَعْمَلونَ بِتَعاوُنٍ.,مُتَقاسِمينَ,مُتَقاسِمينَ,مُتَفَاعِلِينَ,جمع المذكر السالم,The sharers,mutaqAsimInA
شَجَّعْتُ مُتَفاعِلينَ عَلى المُشارَكَةِ الفَعّالَةِ.,مُتَفاعِلينَ,مُتَفاعِلينَ,مُتَفَاعِلِينَ,جمع المذكر السالم,The interactors,mutafA‘ilInA
الْتَقَيْتُ مُتَفائِلينَ رَغْمَ الظُّروفِ الصَّعْبَةِ.,مُتَفائِلينَ,مُتَفائِلينَ,مُتَفَاعِلِينَ,جمع المذكر السالم,The optimistic ones,mutafA’ilInA
شـاهَـدْتُ مُتَقاتِلينَ في ساحَةِ المَعْرَكَةِ.,مُتَقاتِلينَ,مُتَقاتِلينَ,فَاعِلِينَ,جمع المذكر السالم,The fighters,mutaqAtilInA
اسْتَمَعْتُ إِلى مُتَساهِلينَ في تَخْفيفِ العُقوباتِ.,مُتَساهِلينَ,مُتَساهِلينَ,فَعَّالِينَ,جمع المذكر السالم,The lenient ones,mutasAhilInA
شاهدتُ ٱلْراقِصِينَ في الحفل الأخير.,ٱلْراقِصِينَ,راقِصِينَ,مُفَعِّلِينَ,جمع المذكر السالم,The dancers,rAqiSInA
استمعتُ إلى عزف ٱلطَّبَّالِينَ بحماس.,ٱلطَّبَّالِينَ,طَّبَّالِينَ,مُفَعِّلِينَ,جمع المذكر السالم,The drummers,TabbAlInA
استمتعتُ بأداء ٱلْمُغَنِّينَ في المهرجان.,ٱلْمُغَنِّينَ,مُغَنِّينَ,مُفَعِّلِينَ,جمع المذكر السالم,The singers,mughannInA
شجعتُ ٱلْمُنَظِّمِينَ على العمل الجماعي.,ٱلْمُنَظِّمِينَ,مُنَظِّمِينَ,فَعَّالَيْنِ,جمع المذكر السالم,The organizers,munAzzimInA
شاهدتُ عمل ٱلْمُنَظِّفِينَ في تنظيف المكان.,ٱلْمُنَظِّفِينَ,مُنَظِّفِينَ,أَفْعَلِينَ,جمع المذكر السالم,The cleaners,munAzzifInA
شكرتُ ٱلْخدَّامَين على خدمتهم الممتازة.,ٱلْخَدَّامَين,خَدَّامَين,مُتَفَعِّلِينَ,جمع المذكر السالم,The servants,khaddAmAyn
استقبلتُ ٱلْأَحْمَدِينَ في المجلس.,ٱلْأَحْمَدِينَ,أَحْمَدِينَ,فَاعِلِينَ,جمع المذكر السالم,The Ahmeds,’AHmadInA
راقبتُ تصرفات ٱلْمُتَطَهِّرِينَ في المسجد.,ٱلْمُتَطَهِّرِينَ,مُتَطَهِّرِينَ,مُتَفَاعِلِينَ,جمع المذكر السالم,The purified ones,mutTaHHirInA
شاهدتُ ٱلْخَاشِعِينَ في الصلاة بخشوع.,ٱلْخَاشِعِينَ,خَاشِعِينَ,مُتَفَاعِلِينَ,جمع المذكر السالم,The humble ones,khAsh‘InA
تحدثتُ مع ٱلْمُتَرَاحِمِينَ حول التعاون.,ٱلْمُتَرَاحِمِينَ,مُتَرَاحِمِينَ,مُتَفَاعِلِينَ,جمع المذكر السالم,The merciful ones,mutrAHimInA
قابلتُ ٱلْمُتَعَاقِدِينَ لتجديد العقود.,ٱلْمُتَعَاقِدِينَ,مُتَعَاقِدِينَ,مُتَفَاعِلِينَ,جمع المذكر السالم,The contractors,muta‘AqidInA
تحدثتُ إلى ٱلْمُتَسَامِرِينَ طوال الليل.,ٱلْمُتَسَامِرِينَ,مُتَسَامِرِينَ,فَاعِلِينَ,جمع المذكر السالم,The conversers,mutasAmirInA
تواصلتُ مع ٱلْمُتَوَاصِلِينَ عبر البريد الإلكتروني.,ٱلْمُتَوَاصِلِينَ,مُتَوَاصِلِينَ,فَاعِلِينَ,جمع المذكر السالم,The connected ones,mutwASilInA
دعمتُ ٱلْقَاسِمِينَ في المبادرة الجديدة.,ٱلْقَاسِمِينَ,قَاسِمِينَ,فَاعِلِينَ,جمع المذكر السالم,The dividers,qAsimInA
هاجمتُ ٱلْقَارِعِينَ في المباراة بحيوية.,ٱلْقَارِعِينَ,قَارِعِينَ,فَاعِلِينَ,جمع المذكر السالم,The strikers,qAri‘InA
قابلتُ ٱلطَّالِعِينَ في اللقاء التعريفي.,ٱلطَّالِعِينَ,طَّالِعِينَ,فَاعِلِينَ,جمع المذكر السالم,The ascenders,TTAli‘InA
شاركتُ مع ٱلنَّازِلِينَ في المنافسة.,ٱلنَّازِلِينَ,نَّازِلِينَ,فَاعِلِينَ,جمع المذكر السالم,The descenders,nAzilInA
قاومتُ ٱلْغَاشِمِينَ في النزاع الأخير.,ٱلْغَاشِمِينَ,غَاشِمِينَ,مُتَفَاعِلِينَ,جمع المذكر السالم,The oppressors,ghAshimInA
أوقفتُ ٱلْكَاسِرِينَ قبل وقوع الضرر.,ٱلْكَاسِرِينَ,كَاسِرِينَ,مُتَفَعِّلِينَ,جمع المذكر السالم,The breakers,kAsirInA
شاهدتُ سرعة ٱلْمُتَسَارِعِينَ في السباق.,ٱلْمُتَسَارِعِينَ,مُتَسَارِعِينَ,مُتَفَعِّلِينَ,جمع المذكر السالم,The accelerators,mutasAri‘InA
تحدثتُ مع ٱلْمُتَوَاضِعِينَ عن التواضع في الحياة.,ٱلْمُتَوَاضِعِينَ,مُتَوَاضِعِينَ,مُتَفَعِّلِينَ,جمع المذكر السالم,The humble ones,mutwAD‘i‘InA
تجاهلتُ كلام ٱلْمُتَكَبِّرِينَ في النقاش.,ٱلْمُتَكَبِّرِينَ,مُتَكَبِّرِينَ,مُفَعِّلِينَ,جمع المذكر السالم,The arrogant ones,mutakabbirInA
تحدثتُ إلى ٱلْمُتَحَرِّرِينَ عن حرية الفكر.,ٱلْمُتَحَرِّرِينَ,مُتَحَرِّرِينَ,مُفَعِّلِينَ,جمع المذكر السالم,The liberated ones,mutaHarrirInA
أشرتُ إلى إنجازات ٱلْمُوَسِّعِينَ في المشروع.,ٱلْمُوَسِّعِينَ,مُوَسِّعِينَ,فَاعِلِينَ,جمع المذكر السالم,The expanders,muwassi‘InA
شجعتُ ٱلْمُنَسِّقِينَ على تحسين العمل الجماعي.,ٱلْمُنَسِّقِينَ,مُنَسِّقِينَ,فَاعِلِينَ,جمع المذكر السالم,The coordinators,munassiqInA
اعتمدتُ على ٱلْقَائِمِينَ بإدارة القسم.,ٱلْقَائِمِينَ,قَائِمِينَ,فَاعِلِينَ,جمع المذكر السالم,The upright ones,qA’imInA
استمعتُ إلى آراء ٱلْحَازِمِينَ بحكمة.,ٱلْحَازِمِينَ,حَازِمِينَ,مُفْعِلِينَ,جمع المذكر السالم,The resolute ones,HAzimInA
ناقشتُ قرارات ٱلْجَازِمِينَ في الاجتماع.,ٱلْجَازِمِينَ,جَازِمِينَ,مُفَاعِلِينَ,جمع المذكر السالم,The decisive ones,jAzimInA
وثقتُ بكرم ٱلْمُنْفِقِينَ في العطاء.,ٱلْمُنْفِقِينَ,مُنْفِقِينَ,مُتَفَاعِلِينَ,جمع المذكر السالم,The spenders,munfiqInA
التقيتُ ٱلْمُقَابِلِينَ في جلسة الحوار.,ٱلْمُقَابِلِينَ,مُقَابِلِينَ,مُتَفَاعِلِينَ,جمع المذكر السالم,The opponents,muqAbilInA
