sentence,token,target,morph_weight,meaning,Blural-type,transliteration
اشتاقتِ التائباتُ إلى رحمةِ اللهِ بعدَ الذنبِ.,التائباتُ,تائبات,فاعِلات,Repentant women,جمع مؤنث سالم,tA}bAt
أوصتِ المربياتُ بالصلاةِ والتسامحِ.,المربياتُ,مربيات,مُفعّلات,Educators,جمع مؤنث سالم,mrbyAt
حافظتِ الحافظاتُ على وِرْدِ القرآنِ اليوميِّ., الحافظاتُ, حافظات,فاعِلات,Memorizers,جمع مؤنث سالم,HAfZAt
وَقَفَتِ المصلّياتُ صفًا واحدًا في الفجرِ., المصلّياتُ, مصلّيات,مُفعّلات,Health workers,جمع مؤنث سالم,mSl~yAt
سَألتِ المتصدقاتُ الأجرَ من اللهِ وحده.,المتصدقاتُ,متصدقات,مُتفعّلات,Charity workers,جمع مؤنث سالم,mtSdqAt
سارتِ الزاهداتُ في دروبِ التقوى.,الزاهداتُ,زاهدات,فاعِلات,Ascetics,جمع مؤنث سالم,zAhdAt
اجتهدتِ الداعياتُ في نشرِ تعاليمِ الدينِ., الداعياتُ, داعيات,فاعِلات,Prayers,جمع مؤنث سالم,dAEyAt
لَمَعَتْ أعينُ الفتياتِ عندَ سماعِ كلماتِ الحبِّ., كلماتِ , كلماتِ ,فِعَلات,Words,جمع مؤنث سالم,klmAti
أَحْسَنَتِ المبدعاتُ التعبيرَ عن وجعِ الوطنِ.,المبدعاتُ,مبدعات,مُفعِلات,Creatives,جمع مؤنث سالم,mbdEAt
تعالتْ أصواتُ المغنياتِ في مهرجانِ الطربِ العربيِّ.,المغنياتِ,مغنيات,مُفعّلات,Scenarios,جمع مؤنث سالم,mgnyAt
التفتَ العشاقُ لضحكاتِ العاشقاتِ وهي تهمسُ بالحياةِ., العاشقاتِ,عاشقات,فاعِلات,Lovers,جمع مؤنث سالم,EA$qAt
خَطَّتِ الحروفُ على صفحاتِ الدواوينِ بيدِ الشاعرات., صفحاتِ, صفحاتِ,فَعَلات,Prayers,جمع مؤنث سالم,SfHAti
خَطَّتِ الحروفُ على صفحاتِ الدواوينِ بيدِ الشاعرات., الشاعرات, شاعرات,فاعِلات,Poets,جمع مؤنث سالم,$AErAt
رَوَتِ الجداتُ قصصًا تنسجُ الحكمةَ في أعماقِ الطفولة.,الجدَّاتُ,جدَّات,فَعّالات,Grandmothers,جمع مؤنث سالم,jd~aAt
